# Originally presented by Draper and Smith (1981) and reanalysed by Lindstrom and Bates (1990)
# The data Yij consist of trunk circumference measurements recorded at time xj, j=1,...,7 for each of i = 1,..., 5 orange trees.
tree,time_point,time_days,circumference_mm
1,1,118.00,30.00
1,2,484.00,58.00
1,3,664.00,87.00
1,4,1004.00,115.00
1,5,1231.00,120.00
1,6,1372.00,142.00
1,7,1582.00,145.00
2,1,118.00,33.00
2,2,484.00,69.00
2,3,664.00,111.00
2,4,1004.00,156.00
2,5,1231.00,172.00
2,6,1372.00,203.00
2,7,1582.00,203.00
3,1,118.00,30.00
3,2,484.00,51.00
3,3,664.00,75.00
3,4,1004.00,108.00
3,5,1231.00,115.00
3,6,1372.00,139.00
3,7,1582.00,140.00
4,1,118.00,32.00
4,2,484.00,62.00
4,3,664.00,112.00
4,4,1004.00,167.00
4,5,1231.00,179.00
4,6,1372.00,209.00
4,7,1582.00,214.00
5,1,118.00,30.00
5,2,484.00,49.00
5,3,664.00,81.00
5,4,1004.00,125.00
5,5,1231.00,142.00
5,6,1372.00,174.00
5,7,1582.00,177.00
